country,region1,region2
DZ,15,2
EG,15,2
LY,15,2
MA,15,2
SD,15,2
TN,15,2
EH,15,2
IO,202,2
BI,202,2
KM,202,2
DJ,202,2
ER,202,2
ET,202,2
TF,202,2
KE,202,2
MG,202,2
MW,202,2
MU,202,2
YT,202,2
MZ,202,2
RE,202,2
RW,202,2
SC,202,2
SO,202,2
SS,202,2
TZ,202,2
UG,202,2
ZM,202,2
ZW,202,2
AO,202,2
CM,202,2
CF,202,2
TD,202,2
CG,202,2
CD,202,2
GQ,202,2
GA,202,2
ST,202,2
BW,202,2
SZ,202,2
LS,202,2
,202,2
ZA,202,2
BJ,202,2
BF,202,2
CV,202,2
CI,202,2
GM,202,2
GH,202,2
GN,202,2
GW,202,2
LR,202,2
ML,202,2
MR,202,2
NE,202,2
NG,202,2
SH,202,2
SN,202,2
SL,202,2
TG,202,2
AI,419,19
AG,419,19
AW,419,19
BS,419,19
BB,419,19
BQ,419,19
KY,419,19
CU,419,19
CW,419,19
DM,419,19
DO,419,19
GD,419,19
GP,419,19
HT,419,19
JM,419,19
MQ,419,19
MS,419,19
PR,419,19
BL,419,19
KN,419,19
LC,419,19
MF,419,19
VC,419,19
SX,419,19
TT,419,19
TC,419,19
VG,419,19
VI,419,19
BZ,419,19
CR,419,19
SV,419,19
GT,419,19
HN,419,19
MX,419,19
NI,419,19
PA,419,19
BM,3,19
CA,3,19
GL,3,19
PM,3,19
US,3,19
AR,419,19
BO,419,19
BV,419,19
BR,419,19
CL,419,19
CO,419,19
EC,419,19
FK,419,19
GF,419,19
GY,419,19
PY,419,19
PE,419,19
GS,419,19
SR,419,19
UY,419,19
VE,419,19
AQ,10,10
KZ,143,142
KG,143,142
TJ,143,142
TM,143,142
UZ,143,142
CN,30,142
HK,30,142
JP,30,142
KP,30,142
KR,30,142
MO,30,142
MN,30,142
BN,35,142
KH,35,142
ID,35,142
LA,35,142
MY,35,142
MM,35,142
PH,35,142
SG,35,142
TH,35,142
TL,35,142
VN,35,142
AF,34,142
BD,34,142
BT,34,142
IN,34,142
IR,34,142
MV,34,142
NP,34,142
PK,34,142
LK,34,142
AM,145,142
AZ,145,142
BH,145,142
CY,145,142
GE,145,142
IQ,145,142
IL,145,142
JO,145,142
KW,145,142
LB,145,142
OM,145,142
PS,145,142
QA,145,142
SA,145,142
SY,145,142
TR,145,142
AE,145,142
YE,145,142
BY,151,150
BG,151,150
CZ,151,150
HU,151,150
MD,151,150
PL,151,150
RO,151,150
RU,151,150
SK,151,150
UA,151,150
AX,154,150
GG,154,150
JE,154,150
–,154,150
DK,154,150
EE,154,150
FO,154,150
FI,154,150
IS,154,150
IE,154,150
IM,154,150
LV,154,150
LT,154,150
NO,154,150
SJ,154,150
SE,154,150
GB,154,150
AL,39,150
AD,39,150
BA,39,150
HR,39,150
GI,39,150
GR,39,150
VA,39,150
IT,39,150
MT,39,150
ME,39,150
MK,39,150
PT,39,150
SM,39,150
RS,39,150
SI,39,150
ES,39,150
AT,155,150
BE,155,150
FR,155,150
DE,155,150
LI,155,150
LU,155,150
MC,155,150
NL,155,150
CH,155,150
AU,53,9
CX,53,9
CC,53,9
HM,53,9
NZ,53,9
NF,53,9
FJ,54,9
NC,54,9
PG,54,9
SB,54,9
VU,54,9
GU,57,9
KI,57,9
MH,57,9
FM,57,9
NR,57,9
MP,57,9
PW,57,9
UM,57,9
AS,61,9
CK,61,9
PF,61,9
NU,61,9
PN,61,9
WS,61,9
TK,61,9
TO,61,9
TV,61,9
WF,61,9
TW,30,142
XK,39,150
