img_id,lat,lon,lic,acc,url,country,region1,region2
1,46.726212,6.462836,0,14,https://farm66.staticflickr.com/65535/48727414466_5c2a376540.jpg,CH,155,150
2,64.23409000000001,30.296813,0,8,https://farm66.staticflickr.com/65535/48919785011_e28491f29b.jpg,RU,151,150
3,65.099898,29.598541,0,9,https://farm66.staticflickr.com/65535/48060436456_d6d28fe844.jpg,FI,154,150
4,47.28161400000001,11.398045,0,16,https://farm66.staticflickr.com/65535/49081561406_2f6b1aefdd.jpg,AT,155,150
5,56.481453,-3.047933,0,13,https://farm66.staticflickr.com/65535/49243776386_dab2318987.jpg,GB,154,150
6,40.849641,-73.876662,3,15,https://farm5.staticflickr.com/4888/45754198135_719939e4fe.jpg,US,3,19
7,58.66087,16.405334,0,13,https://farm66.staticflickr.com/65535/48536700746_31fc27eb78.jpg,SE,154,150
8,64.23409000000001,30.296813,0,8,https://farm66.staticflickr.com/65535/48653268467_c4f3d3b14d.jpg,RU,151,150
9,66.036765,29.897735,0,10,https://farm66.staticflickr.com/65535/48871463197_e4f473b598.jpg,FI,154,150
10,48.136455,-123.150298,0,16,https://farm66.staticflickr.com/65535/48277288896_ba7faedfe0.jpg,US,3,19
11,38.693013,-9.309196,0,12,https://farm66.staticflickr.com/65535/33990440708_25e4e84cfd.jpg,PT,39,150
12,60.83732,-148.986196,0,13,https://farm66.staticflickr.com/65535/48419121651_316e93e0fb.jpg,US,3,19
13,60.83732,-148.986196,0,13,https://farm66.staticflickr.com/65535/48418036936_a865032917.jpg,US,3,19
14,51.471694,-2.53694,0,14,https://farm66.staticflickr.com/65535/49016140906_d61a9d8fb3.jpg,GB,154,150
16,59.891307,-152.805095,0,11,https://farm66.staticflickr.com/65535/48808044543_48a913a876.jpg,US,3,19
18,47.290699,8.529424,0,14,https://farm66.staticflickr.com/65535/48120457566_aebcfa2f02.jpg,CH,155,150
19,44.059712,144.990348,0,13,https://farm66.staticflickr.com/65535/48680086523_33a74dd7e7.jpg,JP,30,142
20,32.736458,-117.150829,0,15,https://farm66.staticflickr.com/65535/48326884297_89cba080f5.jpg,US,3,19
22,51.84977,-0.544241,0,16,https://farm66.staticflickr.com/65535/48718729996_bdbac424d6.jpg,GB,154,150
24,32.736458,-117.150829,0,15,https://farm66.staticflickr.com/65535/48546864181_374c7eec27.jpg,US,3,19
25,32.736458,-117.150829,0,15,https://farm66.staticflickr.com/65535/48372811267_9b1b4b2b1f.jpg,US,3,19
26,59.983313,-152.652498,0,16,https://farm66.staticflickr.com/65535/48995781571_a65bb48afa.jpg,US,3,19
27,32.736458,-117.150829,0,15,https://farm66.staticflickr.com/65535/49123957543_c933cc5ba7.jpg,US,3,19
29,32.736458,-117.150829,0,15,https://farm66.staticflickr.com/65535/48983364281_4440c2980b.jpg,US,3,19
