img_id,lat,lon,lic,acc,url,country,region1,region2
1,29.896019,31.163406,0,10,https://farm8.staticflickr.com/7877/40117370113_4114a155d2.jpg,EG,15,2
2,26.486437,74.55541099999998,0,14,https://farm8.staticflickr.com/7822/31810568027_282cef5368.jpg,IN,34,142
3,50.184812,8.487796000000001,0,12,https://farm5.staticflickr.com/4873/46720438192_a2d645127d.jpg,DE,155,150
6,26.487829,74.552149,1,14,https://farm66.staticflickr.com/65535/48204859092_e4f8e1e0b9.jpg,IN,34,142
7,43.295515,68.274633,0,16,https://farm66.staticflickr.com/65535/49038700877_3ffb1a5dd5.jpg,KZ,143,142
9,46.51003,6.61795,0,16,https://farm66.staticflickr.com/65535/48891451156_ba373cb2a7.jpg,CH,155,150
10,26.486213,74.562655,1,16,https://farm5.staticflickr.com/4803/46911152062_bf13bc9053.jpg,IN,34,142
12,31.310661,-7.349914999999998,0,6,https://farm66.staticflickr.com/65535/47984071101_bd813bf462.jpg,MA,15,2
13,27.134263,33.821385,4,16,https://farm66.staticflickr.com/65535/48404572991_0e00c86c40.jpg,EG,15,2
14,31.479463,-6.723694999999998,0,6,https://farm66.staticflickr.com/65535/47927421622_03159ef0bc.jpg,MA,15,2
15,31.027972,-4.000695,1,16,https://farm66.staticflickr.com/65535/48990804942_612c2ca9d5.jpg,MA,15,2
16,31.827371000000007,35.35290900000001,0,16,https://farm8.staticflickr.com/7842/47218504951_22044a45e8.jpg,PS,145,142
18,31.451351000000006,-6.679749,0,6,https://farm66.staticflickr.com/65535/47927438106_a622a1f6d5.jpg,MA,15,2
19,-27.818673,152.655973,0,14,https://farm66.staticflickr.com/65535/48816870117_778e6ac5bb.jpg,AU,53,9
20,31.173545,-3.969726,0,11,https://farm66.staticflickr.com/65535/48854039072_cb848563e3.jpg,MA,15,2
21,29.613975,35.488544,0,16,https://farm66.staticflickr.com/65535/49092470756_215dd63f53.jpg,JO,145,142
23,26.486437,74.55541099999998,0,14,https://farm8.staticflickr.com/7833/39902558773_e5aa4f787e.jpg,IN,34,142
25,31.102627,-4.019279,0,11,https://farm8.staticflickr.com/7806/46367708004_7e22338570.jpg,MA,15,2
28,26.482711,74.543459,0,15,https://farm66.staticflickr.com/65535/47952697462_9599415efd.jpg,IN,34,142
29,38.204127,-85.70589,3,14,https://farm66.staticflickr.com/65535/48918352977_1f4d1c9c8b.jpg,US,3,19
30,25.301355,83.013553,0,13,https://farm66.staticflickr.com/65535/48754727443_cdec4f5da4.jpg,IN,34,142
31,38.204127,-85.70589,3,14,https://farm66.staticflickr.com/65535/48917623133_c44f52e462.jpg,US,3,19
38,42.322962,-111.297276,0,15,https://farm66.staticflickr.com/65535/49225978516_c7b87fa698.jpg,US,3,19
39,30.009092,31.214046000000003,0,12,https://farm8.staticflickr.com/7899/45965948475_12e2e254e7.jpg,EG,15,2
40,-36.007918,146.006452,0,11,https://farm5.staticflickr.com/4820/33033955588_a96a94b15b.jpg,AU,53,9
43,52.268607,104.276218,0,16,https://farm8.staticflickr.com/7868/45807664095_e4efc60242.jpg,RU,151,150
46,39.083585,-77.59246999999998,0,15,https://farm66.staticflickr.com/65535/48154489147_d0d4d6494d.jpg,US,3,19
47,31.106449,-4.057044,0,13,https://farm66.staticflickr.com/65535/49205023483_c73a59cb63.jpg,MA,15,2
49,35.999229,9.766845,0,8,https://farm5.staticflickr.com/4857/46111401234_73eb18af57.jpg,TN,15,2
51,41.378611,60.364036,0,11,https://farm66.staticflickr.com/65535/48039900937_a6fd34e70e.jpg,UZ,143,142
52,26.482865000000004,74.54333000000003,0,15,https://farm66.staticflickr.com/65535/32871082207_4297eb0697.jpg,IN,34,142
55,26.839929,71.031646,0,11,https://farm66.staticflickr.com/65535/48592835512_04a052611b.jpg,IN,34,142
57,14.836107,-17.251260000000002,0,16,https://farm8.staticflickr.com/7872/40183044713_13a52a5576.jpg,SN,202,2
58,26.186661,46.867675,0,7,https://farm66.staticflickr.com/65535/48437876671_5f7a72d636.jpg,SA,145,142
59,42.476781,-83.152556,0,14,https://farm66.staticflickr.com/65535/49211876936_f53c21d4bf.jpg,US,3,19
60,25.290093,51.531897,3,16,https://farm66.staticflickr.com/65535/49186096393_a3a7748869.jpg,QA,145,142
62,49.4479,11.145328999999998,0,15,https://farm8.staticflickr.com/7898/32092730487_ca6510432c.jpg,DE,155,150
63,26.839929,71.031646,0,11,https://farm66.staticflickr.com/65535/48618835936_40fa58803d.jpg,IN,34,142
64,44.102918,103.548696,0,15,https://farm66.staticflickr.com/65535/47983100073_2715d768ec.jpg,MN,30,142
65,43.296455,68.27046899999999,0,16,https://farm66.staticflickr.com/65535/48783120757_7857cfa628.jpg,KZ,143,142
67,30.009092,31.214046000000003,0,12,https://farm5.staticflickr.com/4806/32953606808_f278fa8e6c.jpg,EG,15,2
70,26.483211,74.54227900000002,0,14,https://farm8.staticflickr.com/7897/47098100851_166aaa8998.jpg,IN,34,142
71,31.493969,-9.769077,0,12,https://farm66.staticflickr.com/65535/49249826281_22023a4e70.jpg,MA,15,2
74,17.853289999999994,53.52539,0,5,https://farm66.staticflickr.com/65535/46748225235_a51f5b44cc.jpg,OM,145,142
76,31.123755,-3.923039,0,9,https://farm5.staticflickr.com/4832/47398864551_e85d71053c.jpg,MA,15,2
77,31.211652,-4.0140980000000015,0,16,https://farm8.staticflickr.com/7814/47202892432_86806ff9e1.jpg,MA,15,2
80,26.492141,74.548115,0,16,https://farm66.staticflickr.com/65535/49136010257_f0817a51ca.jpg,IN,34,142
81,31.236288,-4.0594480000000015,0,7,https://farm66.staticflickr.com/65535/48497529582_a6feb7e6ab.jpg,MA,15,2
82,26.52793,71.171363,0,16,https://farm8.staticflickr.com/7825/46841381674_d67de392af.jpg,IN,34,142
83,29.577292,35.418544,0,10,https://farm66.staticflickr.com/65535/49071075701_1e0ee6ba68.jpg,JO,145,142
86,51.772118,-1.662282,0,13,https://farm66.staticflickr.com/65535/48387397581_6b280d840e.jpg,GB,154,150
87,20.616736,-12.072209,0,16,https://farm5.staticflickr.com/4832/45903041015_65a617deda.jpg,MR,202,2
88,40.409836,-3.764448,0,13,https://farm66.staticflickr.com/65535/49172103553_0c89037441.jpg,ES,39,150
91,52.404036,-0.329096,0,15,https://farm8.staticflickr.com/7881/32171409507_f04fea0962.jpg,GB,154,150
93,29.975393,31.137796,0,16,https://farm66.staticflickr.com/65535/32873774567_5f741b7a7a.jpg,EG,15,2
96,20.616736,-12.072209,0,16,https://farm8.staticflickr.com/7894/46958799241_18bdff0cb6.jpg,MR,202,2
97,26.902706,70.63084599999998,0,13,https://farm66.staticflickr.com/65535/47959409532_c3c9e9f9dc.jpg,IN,34,142
99,21.043491,51.45996,0,4,https://farm66.staticflickr.com/65535/40904648003_d30f741b1f.jpg,AE,145,142
104,40.24075,94.883422,0,9,https://farm66.staticflickr.com/65535/48786628341_56c260e733.jpg,CN,30,142
105,29.975131,31.137077,0,16,https://farm8.staticflickr.com/7927/46389025994_66d42ec396.jpg,EG,15,2
106,20.460023,-12.362816,0,16,https://farm8.staticflickr.com/7828/47044509582_5e4c0255c3.jpg,MR,202,2
108,26.234763,50.56612,0,12,https://farm66.staticflickr.com/65535/33869683588_5c60010b7f.jpg,BH,145,142
110,29.661951,35.480518,0,12,https://farm66.staticflickr.com/65535/40748621153_f05db9ea9a.jpg,JO,145,142
113,26.484901,74.540605,0,14,https://farm66.staticflickr.com/65535/49086089421_c105d0cfc1.jpg,IN,34,142
116,24.819983,55.63987,0,11,https://farm66.staticflickr.com/65535/33752354128_741b7db66b.jpg,AE,145,142
118,44.84029,100.777587,0,7,https://farm8.staticflickr.com/7803/46538079624_9106ab0597.jpg,MN,30,142
119,26.902706,70.63084599999998,0,13,https://farm66.staticflickr.com/65535/48055853571_6fc5828aaf.jpg,IN,34,142
121,29.586743,35.529613,0,12,https://farm66.staticflickr.com/65535/46942488344_beac4135be.jpg,JO,145,142
122,26.490225,74.544267,0,12,https://farm66.staticflickr.com/65535/49274085798_237d288f5d.jpg,IN,34,142
129,30.322517,35.451507,0,16,https://farm66.staticflickr.com/65535/48986442108_df690351f2.jpg,JO,145,142
132,31.20933,-4.013431,0,16,https://farm8.staticflickr.com/7866/46545383214_7c017db040.jpg,MA,15,2
141,26.483211,74.542837,0,14,https://farm8.staticflickr.com/7872/40123241443_644d677c73.jpg,IN,34,142
142,26.482846,74.543159,0,15,https://farm8.staticflickr.com/7880/32656102007_1208239cb7.jpg,IN,34,142
143,33.55076500000001,-112.415456,3,13,https://farm8.staticflickr.com/7868/46758886634_40edd036c4.jpg,US,3,19
144,26.484418,74.54405799999998,0,16,https://farm8.staticflickr.com/7800/45769688095_f2c836d297.jpg,IN,34,142
145,47.49885,19.040293,0,16,https://farm8.staticflickr.com/7879/46253426565_12d3716d2b.jpg,HU,151,150
146,29.967777,31.129444,0,16,https://farm5.staticflickr.com/4895/46645505411_381a9a5ab2.jpg,EG,15,2
147,27.9787,73.362063,0,16,https://farm8.staticflickr.com/7824/46294755885_571ce17ae2.jpg,IN,34,142
148,25.308193,83.023679,0,12,https://farm66.staticflickr.com/65535/47007686464_0e8765ba1b.jpg,IN,34,142
149,30.892502,-4.014043,0,14,https://farm8.staticflickr.com/7851/46567459044_26f723feb5.jpg,MA,15,2
150,29.810269,35.453736,0,16,https://farm8.staticflickr.com/7844/47068076491_b368c8aea5.jpg,JO,145,142
151,30.892502,-4.014043,0,14,https://farm8.staticflickr.com/7891/40326024323_8a4bfb6e29.jpg,MA,15,2
152,29.810269,35.453736,0,16,https://farm8.staticflickr.com/7885/46344404404_4ac09b0e2e.jpg,JO,145,142
153,26.490937,74.557085,0,13,https://farm8.staticflickr.com/7865/31810175967_322beaaf5f.jpg,IN,34,142
154,26.490937,74.557085,0,13,https://farm5.staticflickr.com/4907/39786448433_020e555595.jpg,IN,34,142
155,26.490937,74.557085,0,13,https://farm8.staticflickr.com/7834/31810227997_5c1af95601.jpg,IN,34,142
156,26.490937,74.557085,0,13,https://farm5.staticflickr.com/4897/31810128097_1c854728a8.jpg,IN,34,142
157,51.545067,7.108368,0,16,https://farm8.staticflickr.com/7860/31831612677_b49cdce006.jpg,DE,155,150
158,30.892502,-4.014043,0,14,https://farm8.staticflickr.com/7828/47240041812_e0b727bc6a.jpg,MA,15,2
159,26.490937,74.557085,0,13,https://farm5.staticflickr.com/4893/46751869451_b10fa6fa57.jpg,IN,34,142
