img_id,lat,lon,lic,acc,url,country,region1,region2
1,54.209927,-0.803289,0,16,https://farm8.staticflickr.com/7901/46755723371_e7c05cab5c.jpg,GB,154,150
2,-17.809699,25.138006,0,15,https://farm66.staticflickr.com/65535/33870116898_ef6a091118.jpg,BW,202,2
3,-0.772838,36.413279,0,14,https://farm8.staticflickr.com/7818/33251690778_39ab6fc2c2.jpg,KE,202,2
4,51.215661,4.423896,0,16,https://farm66.staticflickr.com/65535/48255216361_90c8a1e4f4.jpg,BE,155,150
5,52.37895200000001,-2.292537,0,12,https://farm66.staticflickr.com/65535/48263489696_cffd9d42f7.jpg,GB,154,150
6,-17.813253,25.140838,0,12,https://farm66.staticflickr.com/65535/48666401703_acc22980e7.jpg,BW,202,2
7,-0.650582,30.862741,4,14,https://farm8.staticflickr.com/7926/45683778325_f3c311edca.jpg,UG,202,2
8,47.698022,-0.077823,0,16,https://farm66.staticflickr.com/65535/33965951418_427d4f5dec.jpg,FR,155,150
9,51.215795,4.423133999999999,10,15,https://farm8.staticflickr.com/7838/32627561177_7185a3893b.jpg,BE,155,150
10,51.849563,-0.541666,0,16,https://farm66.staticflickr.com/65535/49177524601_cd2056e88c.jpg,GB,154,150
11,-19.160492,23.765659,0,13,https://farm66.staticflickr.com/65535/48448761816_becd47c048.jpg,BW,202,2
13,51.849563,-0.541666,0,16,https://farm66.staticflickr.com/65535/49177689096_3c4eb0ee11.jpg,GB,154,150
14,-27.55457,31.993041,0,16,https://farm66.staticflickr.com/65535/49009163227_c661e6674e.jpg,ZA,202,2
15,-17.838204,25.090541,0,15,https://farm8.staticflickr.com/7832/31745934067_6e0b21c13c.jpg,BW,202,2
17,-17.829465,25.109252,0,13,https://farm5.staticflickr.com/4819/32023502547_545efa04a7.jpg,BW,202,2
18,54.209927,-0.803289,0,16,https://farm5.staticflickr.com/4811/46702852382_5540942505.jpg,GB,154,150
19,-2.635102,37.238588,0,13,https://farm66.staticflickr.com/65535/46427118034_c22eb41132.jpg,TZ,202,2
20,32.736458,-117.150829,0,15,https://farm66.staticflickr.com/65535/49270102432_0343494b98.jpg,US,3,19
21,-19.521611,23.14373,3,11,https://farm5.staticflickr.com/4817/46830135671_ed98aa7fa6.jpg,BW,202,2
22,-23.531117,31.410298,0,15,https://farm66.staticflickr.com/65535/48113349988_53e31c7eb1.jpg,ZA,202,2
23,-2.5443290000000003,37.155761,0,6,https://farm8.staticflickr.com/7858/47471740582_9da4f8bfd6.jpg,TZ,202,2
24,54.209927,-0.803289,0,16,https://farm8.staticflickr.com/7810/32880128488_aa9b3ebda8.jpg,GB,154,150
25,51.849563,-0.541666,0,16,https://farm66.staticflickr.com/65535/48529525567_04dee8e9be.jpg,GB,154,150
26,-2.628123,34.797369,0,16,https://farm8.staticflickr.com/7809/46333135294_cf5edbf958.jpg,TZ,202,2
27,5.873128,-4.8336760000000005,0,14,https://farm8.staticflickr.com/7887/39701736143_426fd28c1e.jpg,CI,202,2
28,47.548213,7.5806,0,16,https://farm66.staticflickr.com/65535/49279561808_29526dbb14.jpg,CH,155,150
29,-17.839564000000006,25.079727,0,12,https://farm66.staticflickr.com/65535/48562135966_a459e96c14.jpg,BW,202,2
30,45.689597,-1.164658,0,15,https://farm66.staticflickr.com/65535/47945378111_eccaf06259.jpg,FR,155,150
32,-25.114687,31.909071,0,16,https://farm66.staticflickr.com/65535/49287164076_6d23b612a9.jpg,ZA,202,2
33,-19.184343,22.869415,0,10,https://farm66.staticflickr.com/65535/48393025836_702c1b66e5.jpg,BW,202,2
34,-27.55457,31.993041,0,16,https://farm66.staticflickr.com/65535/47961069868_fb7a53ea28.jpg,ZA,202,2
35,41.387048,2.189712,0,16,https://farm66.staticflickr.com/65535/48025375408_f1416e5c71.jpg,ES,39,150
36,41.387048,2.189712,0,16,https://farm66.staticflickr.com/65535/48025451487_5f8303667b.jpg,ES,39,150
37,-1.51003,35.178963,0,13,https://farm8.staticflickr.com/7803/46482193565_d7c836c93d.jpg,TZ,202,2
38,32.046751,34.827389000000004,0,16,https://farm8.staticflickr.com/7913/46656163845_312de5007c.jpg,IL,145,142
39,52.257448,21.020729,6,15,https://farm66.staticflickr.com/65535/49266076851_94f39d0be8.jpg,PL,151,150
40,-18.838714000000003,26.878051,0,7,https://farm66.staticflickr.com/65535/48150936986_bf6d7b8547.jpg,ZW,202,2
41,-25.460595,31.53501,0,15,https://farm66.staticflickr.com/65535/49241888456_4c19dfeaa8.jpg,ZA,202,2
42,52.377933,-2.295178,0,16,https://farm66.staticflickr.com/65535/48994767327_b0e31909c3.jpg,GB,154,150
43,-17.808514000000006,25.135173,0,14,https://farm66.staticflickr.com/65535/49241170796_c83bf22dfd.jpg,BW,202,2
44,-19.090022,22.580795,0,10,https://farm66.staticflickr.com/65535/48996727903_9f2c9a33c8.jpg,BW,202,2
45,-1.50752,35.02713,1,16,https://farm66.staticflickr.com/65535/49137273176_bbb286e7bb.jpg,TZ,202,2
46,0.185637,37.392966,0,13,https://farm8.staticflickr.com/7915/47397229311_3bf281e2d1.jpg,KE,202,2
48,50.117902,14.404782,0,16,https://farm66.staticflickr.com/65535/48052005073_08c35bf3aa.jpg,CZ,151,150
50,48.182151,16.302777,6,16,https://farm66.staticflickr.com/65535/49102014932_553e0328fd.jpg,AT,155,150
51,39.14435200000001,-84.506945,1,16,https://farm66.staticflickr.com/65535/48913995357_98da4cf823.jpg,US,3,19
52,-2.635102,37.238588,0,13,https://farm8.staticflickr.com/7805/46482188805_23c4d44a01.jpg,TZ,202,2
53,-2.985545,38.021219,0,16,https://farm66.staticflickr.com/65535/48654811752_62bd4dcd6a.jpg,KE,202,2
54,-3.15622,35.603697,0,16,https://farm66.staticflickr.com/65535/47952258767_f4e1eab5f5.jpg,TZ,202,2
55,52.37895200000001,-2.292537,0,12,https://farm66.staticflickr.com/65535/48209247177_f9eca82af5.jpg,GB,154,150
56,-37.919623,144.669771,0,13,https://farm8.staticflickr.com/7890/32590192967_42d67a22f5.jpg,AU,53,9
57,-19.184343,22.869415,0,10,https://farm66.staticflickr.com/65535/48393001542_faec05f0ca.jpg,BW,202,2
58,32.047051,34.826059,0,16,https://farm8.staticflickr.com/7918/32629055197_f8440bbe0b.jpg,IL,145,142
59,32.047015,34.827003000000005,0,16,https://farm8.staticflickr.com/7831/40605595363_0b2bfcc316.jpg,IL,145,142
60,48.182322,16.303058,5,16,https://farm66.staticflickr.com/65535/48866106961_777e1b0467.jpg,AT,155,150
61,-1.5351549999999998,34.873352000000004,0,10,https://farm66.staticflickr.com/65535/48096235106_07b75f5edb.jpg,TZ,202,2
62,-1.413103,35.3533,0,16,https://farm66.staticflickr.com/65535/48945897423_050b0dbbff.jpg,KE,202,2
63,-2.646305,34.792327,0,9,https://farm8.staticflickr.com/7817/47237070262_ede27c8b31.jpg,TZ,202,2
64,-17.829465,25.109252,0,13,https://farm8.staticflickr.com/7828/40280928123_36c2130d36.jpg,BW,202,2
65,47.549208,7.581472,0,16,https://farm66.staticflickr.com/65535/49233707611_d60d2a93f3.jpg,CH,155,150
66,13.566569,-14.828367000000002,3,13,https://farm66.staticflickr.com/65535/48085295346_f040fdc44e.jpg,GM,202,2
67,32.734014,-117.152111,0,16,https://farm8.staticflickr.com/7871/46447473275_de3f14af71.jpg,US,3,19
68,40.781678,-73.974466,0,14,https://farm66.staticflickr.com/65535/47903580271_f0fe03d02b.jpg,US,3,19
69,5.871417,-4.832287,0,16,https://farm8.staticflickr.com/7852/46112552934_15d448ffa2.jpg,CI,202,2
70,-1.413103,35.3533,0,16,https://farm66.staticflickr.com/65535/48946438986_d5e54c8731.jpg,KE,202,2
71,-25.116241,31.912214,0,15,https://farm66.staticflickr.com/65535/48085651082_6186f99887.jpg,ZA,202,2
73,55.671328,12.52053,0,15,https://farm66.staticflickr.com/65535/46891996885_71fa7b8610.jpg,DK,154,150
75,5.872847,-4.831375,0,16,https://farm5.staticflickr.com/4850/31740512927_6296655845.jpg,CI,202,2
76,48.999436,8.401530000000001,1,16,https://farm66.staticflickr.com/65535/33926668228_ed87eea376.jpg,DE,155,150
77,-0.20967800000000006,29.887794,0,16,https://farm66.staticflickr.com/65535/49051056386_a7306cdeb2.jpg,UG,202,2
79,-0.209687,29.887772,0,16,https://farm66.staticflickr.com/65535/49050543298_f9a9e17128.jpg,UG,202,2
80,5.866742,-4.833939,0,16,https://farm8.staticflickr.com/7869/39833189363_5b01cc9fbe.jpg,CI,202,2
82,-17.835985,25.106334,0,14,https://farm66.staticflickr.com/65535/48761024067_bc6bcba990.jpg,BW,202,2
84,-1.146128,35.110286,0,16,https://farm66.staticflickr.com/65535/49219415273_995df5cd27.jpg,KE,202,2
85,-2.294613,34.815673,0,8,https://farm8.staticflickr.com/7842/46835995464_044e4e683f.jpg,TZ,202,2
90,35.156255,136.977913,3,16,https://farm66.staticflickr.com/65535/40699523943_c527943c37.jpg,JP,30,142
