img_id,lat,lon,lic,acc,url,country,region1,region2
1,53.22695,-2.886292,0,15,https://farm8.staticflickr.com/7920/47546175222_8a0b462d7d.jpg,GB,154,150
2,-17.247259,-56.656964,0,16,https://farm8.staticflickr.com/7890/40593537783_7136270ed5.jpg,BR,419,19
3,45.530493,-73.624792,0,14,https://farm66.staticflickr.com/65535/48267405791_0d55920663.jpg,CA,3,19
4,-3.769557,-38.476073,0,15,https://farm66.staticflickr.com/65535/48925688223_c06beca0ea.jpg,BR,419,19
5,28.408911,-16.564892999999998,0,14,https://farm66.staticflickr.com/65535/49234929937_6af4d7a5d7.jpg,ES,39,150
6,53.227266,-2.881379,0,15,https://farm66.staticflickr.com/65535/49169322926_a75fb66b1b.jpg,GB,154,150
7,28.408911,-16.564892999999998,0,14,https://farm66.staticflickr.com/65535/49234240778_b993f14d48.jpg,ES,39,150
12,-17.675427,-57.694702,0,7,https://farm66.staticflickr.com/65535/49102852688_06a65c9827.jpg,BO,419,19
14,53.227266,-2.881379,0,15,https://farm66.staticflickr.com/65535/49169550257_3f3dba0bc9.jpg,GB,154,150
15,53.227266,-2.881379,0,15,https://farm66.staticflickr.com/65535/49168843978_d0c9e51c58.jpg,GB,154,150
19,-17.151288,-56.587829000000006,0,9,https://farm8.staticflickr.com/7873/47209423931_88350295a4.jpg,BR,419,19
23,49.228644,7.040713,3,16,https://farm66.staticflickr.com/65535/49138161102_2a23a427dd.jpg,DE,155,150
26,53.22697,-2.883331,0,15,https://farm66.staticflickr.com/65535/49152830987_b7c5f5d571.jpg,GB,154,150
28,-1.063098,-77.526328,4,16,https://farm8.staticflickr.com/7824/47595634791_82b874169f.jpg,EC,419,19
33,10.266464,-84.192953,0,13,https://farm8.staticflickr.com/7858/46007925314_c452162d86.jpg,CR,419,19
37,-19.954183,-56.304244,0,16,https://farm8.staticflickr.com/7925/39813954153_9067771734.jpg,BR,419,19
41,-17.177141,-56.581435,0,16,https://farm66.staticflickr.com/65535/48734446271_2b999cfbfc.jpg,BR,419,19
46,37.325744,-121.861381,0,16,https://farm66.staticflickr.com/65535/47926812993_70af6e7ff7.jpg,US,3,19
48,-17.182502,-56.432003,0,16,https://farm66.staticflickr.com/65535/48667810491_bd18ecdbd3.jpg,BR,419,19
59,-17.279659,-56.69904200000001,0,16,https://farm66.staticflickr.com/65535/49140521947_87987b93f3.jpg,BR,419,19
60,-17.293136999999998,-56.715073,0,16,https://farm66.staticflickr.com/65535/48921931393_0db5d69118.jpg,BR,419,19
62,-17.260845,-56.669825,0,16,https://farm66.staticflickr.com/65535/49073556907_5dd2cf526a.jpg,BR,419,19
63,-17.257328,-56.666231,0,16,https://farm66.staticflickr.com/65535/48999935718_f345e1a721.jpg,BR,419,19
65,45.530342,-73.624877,0,14,https://farm8.staticflickr.com/7872/47028720431_0c2d45112c.jpg,CA,3,19
68,-17.240284,-56.6509,0,16,https://farm66.staticflickr.com/65535/48768971107_a4aa6f677c.jpg,BR,419,19
69,-17.294076,-56.712889,0,16,https://farm66.staticflickr.com/65535/48846759792_dc0d929b75.jpg,BR,419,19
71,-17.275628,-56.707137,0,16,https://farm66.staticflickr.com/65535/48971887813_efdce9d68c.jpg,BR,419,19
74,42.462701,-71.093634,5,16,https://farm66.staticflickr.com/65535/48319255227_6e4943ce06.jpg,US,3,19
75,-17.275328,-56.69002800000001,0,16,https://farm66.staticflickr.com/65535/49216758533_08bfb1d0a7.jpg,BR,419,19
77,-17.275598000000002,-56.690114,0,16,https://farm66.staticflickr.com/65535/48808003687_e81cd4f706.jpg,BR,419,19
81,-17.365578,-56.77480300000001,3,16,https://farm66.staticflickr.com/65535/49203342891_00c1a8329b.jpg,BO,419,19
87,49.635599,17.341661,6,15,https://farm66.staticflickr.com/65535/49152352593_78a8ff3227.jpg,CZ,151,150
88,-17.280103,-56.70709100000001,3,14,https://farm66.staticflickr.com/65535/49065078243_b1324e5b0b.jpg,BR,419,19
89,42.462701,-71.093634,5,16,https://farm66.staticflickr.com/65535/48319268387_a78f1de87b.jpg,US,3,19
90,49.635599,17.341661,6,15,https://farm66.staticflickr.com/65535/49178946487_36fdaeb257.jpg,CZ,151,150
93,48.83293,2.416863,0,15,https://farm66.staticflickr.com/65535/49103274406_7d904afd3e.jpg,FR,155,150
94,-17.365578,-56.77480300000001,3,16,https://farm66.staticflickr.com/65535/48804519626_608705dd3c.jpg,BO,419,19
97,-17.365578,-56.77480300000001,3,16,https://farm66.staticflickr.com/65535/49025384251_d024b8c1ec.jpg,BO,419,19
98,-15.754092000000002,-56.12503,0,13,https://farm66.staticflickr.com/65535/49141978157_a12677dc43.jpg,BR,419,19
100,-17.365578,-56.77480300000001,3,16,https://farm66.staticflickr.com/65535/48869487282_fd41c20562.jpg,BO,419,19
101,-2.897273,-78.953689,1,16,https://farm66.staticflickr.com/65535/49220138971_e190c7a17d.jpg,EC,419,19
102,-2.897289,-78.953684,1,16,https://farm66.staticflickr.com/65535/49220140636_9735e66737.jpg,EC,419,19
108,53.228465,-2.886164,0,16,https://farm66.staticflickr.com/65535/46590125725_22354c3cc5.jpg,GB,154,150
109,38.539261,-121.503648,0,16,https://farm8.staticflickr.com/7800/47400389962_44bed9f885.jpg,US,3,19
112,51.162027,0.660091,0,16,https://farm8.staticflickr.com/7880/31760958477_9e210c7239.jpg,GB,154,150
113,51.350786,12.368266,0,16,https://farm8.staticflickr.com/7910/47528726091_d2a46d7cf0.jpg,DE,155,150
114,51.350786,12.368266,0,16,https://farm8.staticflickr.com/7822/33652023968_8ccbd75766.jpg,DE,155,150
115,1.40268,103.790363,0,16,https://farm8.staticflickr.com/7913/47124435681_7a2249ba35.jpg,SG,35,142
118,38.693013,-9.309196,0,12,https://farm8.staticflickr.com/7918/46689876055_86a8a64c04.jpg,PT,39,150
125,47.668125,-122.352098,0,16,https://farm66.staticflickr.com/65535/49051814197_071f969899.jpg,US,3,19
126,-17.675427,-57.694702,0,7,https://farm66.staticflickr.com/65535/48445862816_77eab97733.jpg,BO,419,19
128,42.461697,-71.093366,0,15,https://farm8.staticflickr.com/7873/33269643868_339f9d532c.jpg,US,3,19
131,53.229013,-2.881909,0,16,https://farm66.staticflickr.com/65535/49045530822_926c09f0dc.jpg,GB,154,150
134,9.144604,-79.709964,3,12,https://farm66.staticflickr.com/65535/47700115662_eff67358e7.jpg,PA,419,19
137,39.494968,-3.83309,0,16,https://farm66.staticflickr.com/65535/47708401002_c0b3b2a2d0.jpg,ES,39,150
143,45.687984,-1.165881,0,14,https://farm8.staticflickr.com/7893/33678362378_a39a47d7ff.jpg,FR,155,150
154,53.229013,-2.881909,0,16,https://farm66.staticflickr.com/65535/49045540467_1e6e1f378a.jpg,GB,154,150
155,45.547453,5.5765699999999985,0,16,https://farm66.staticflickr.com/65535/48839103656_f025f20a41.jpg,FR,155,150
156,-17.325731,-56.63726800000001,0,9,https://farm66.staticflickr.com/65535/48758951866_362d2c5099.jpg,BR,419,19
160,48.998521,8.401278999999999,0,14,https://farm66.staticflickr.com/65535/48508585012_05607d81bd.jpg,DE,155,150
177,54.07817900000001,12.086334,0,14,https://farm66.staticflickr.com/65535/48937091302_fb4b08b8a4.jpg,DE,155,150
180,53.22695,-2.886292,0,15,https://farm8.staticflickr.com/7920/46678833575_96861c24ab.jpg,GB,154,150
189,-17.260845,-56.669825,0,16,https://farm66.staticflickr.com/65535/48884728851_b5ce4655f4.jpg,BR,419,19
194,45.547453,5.5765699999999985,0,16,https://farm66.staticflickr.com/65535/48838731728_b79f8a38de.jpg,FR,155,150
197,50.893874,0.542172,0,16,https://farm66.staticflickr.com/65535/48619395832_712fb2c276.jpg,GB,154,150
201,-17.240284,-56.6509,0,16,https://farm66.staticflickr.com/65535/48797006297_e1d0dd2cbf.jpg,BR,419,19
204,-17.239439,-56.648917,0,16,https://farm66.staticflickr.com/65535/48736341157_904873354b.jpg,BR,419,19
225,25.613678,-80.397091,0,16,https://farm66.staticflickr.com/65535/48400365627_05def85da7.jpg,US,3,19
227,50.40797,-3.995418,0,12,https://farm66.staticflickr.com/65535/48601105381_8108d58e59.jpg,GB,154,150
232,38.204127,-85.70589,3,14,https://farm66.staticflickr.com/65535/48977743552_6188c6a34c.jpg,US,3,19
251,-17.365578,-56.77480300000001,3,16,https://farm66.staticflickr.com/65535/48835981512_488ebdf9f2.jpg,BO,419,19
253,-17.365578,-56.77480300000001,3,16,https://farm66.staticflickr.com/65535/48822665072_ab84864130.jpg,BO,419,19
257,48.83293,2.416863,0,15,https://farm66.staticflickr.com/65535/48269884192_c748106bbe.jpg,FR,155,150
258,50.41065,-3.997006,0,16,https://farm66.staticflickr.com/65535/40732210923_6d4b6b1029.jpg,GB,154,150
264,54.077192,12.084918,0,14,https://farm8.staticflickr.com/7912/40490117993_aece9d65f3.jpg,DE,155,150
267,51.340706,6.602567999999999,0,15,https://farm66.staticflickr.com/65535/47929667243_3a0ab49a18.jpg,DE,155,150
269,49.635599,17.341661,6,15,https://farm66.staticflickr.com/65535/49170629372_0568bf351f.jpg,CZ,151,150
270,49.635599,17.341661,6,15,https://farm66.staticflickr.com/65535/49178569797_034676bfe6.jpg,CZ,151,150
276,49.635599,17.341661,6,15,https://farm66.staticflickr.com/65535/49190325402_2949b3934c.jpg,CZ,151,150
277,42.462251,-71.094138,0,16,https://farm66.staticflickr.com/65535/49031307697_878e156661.jpg,US,3,19
279,49.635008,17.339118,4,16,https://farm66.staticflickr.com/65535/48391089617_e534376039.jpg,CZ,151,150
280,48.83293,2.416863,0,15,https://farm66.staticflickr.com/65535/48541224617_5c02128b02.jpg,FR,155,150
282,-16.647145000000002,-57.86608100000001,0,16,https://farm66.staticflickr.com/65535/48231173532_3e8fd17528.jpg,BO,419,19
283,-17.280972,-56.70601800000001,3,16,https://farm66.staticflickr.com/65535/49099723791_b1482c3600.jpg,BR,419,19
286,-17.182502,-56.432003,0,16,https://farm66.staticflickr.com/65535/48684565273_a90d759f93.jpg,BR,419,19
295,32.440768,-99.691572,4,16,https://farm66.staticflickr.com/65535/48665477738_3edd7f8103.jpg,US,3,19
298,48.160818,17.069492,6,12,https://farm66.staticflickr.com/65535/49101572777_6812c7c184.jpg,SK,151,150
301,49.635599,17.341661,6,15,https://farm66.staticflickr.com/65535/49172084221_1ac69b457e.jpg,CZ,151,150
304,-16.748137,-56.85737,0,16,https://farm66.staticflickr.com/65535/48730791118_8d4901bf09.jpg,BR,419,19
307,-17.278979999999994,-56.699967,3,14,https://farm66.staticflickr.com/65535/48736287771_f6008970a8.jpg,BR,419,19
308,33.701896999999995,-116.371981,0,16,https://farm66.staticflickr.com/65535/48082664593_a3c3008221.jpg,US,3,19
311,33.701896999999995,-116.371981,0,16,https://farm66.staticflickr.com/65535/48082665083_98602789ff.jpg,US,3,19
316,48.86360300000001,17.106367000000002,6,16,https://farm66.staticflickr.com/65535/49240027412_5f62c5e60f.jpg,CZ,151,150
320,49.635599,17.341661,6,15,https://farm66.staticflickr.com/65535/49169553752_bd6ee80cb1.jpg,CZ,151,150
326,49.635599,17.341661,6,15,https://farm66.staticflickr.com/65535/49170047371_5810e360bc.jpg,CZ,151,150
330,49.635599,17.341661,6,15,https://farm66.staticflickr.com/65535/49193138167_f74ac86de8.jpg,CZ,151,150
331,48.86360300000001,17.106367000000002,6,16,https://farm66.staticflickr.com/65535/49216359781_a0d4f6dd72.jpg,CZ,151,150
335,48.83293,2.416863,0,15,https://farm66.staticflickr.com/65535/48083961543_00235eecfd.jpg,FR,155,150
339,49.635008,17.339118,4,16,https://farm66.staticflickr.com/65535/48390961126_ccf298ca20.jpg,CZ,151,150
355,47.668421,-122.350637,0,16,https://farm66.staticflickr.com/65535/48632519532_257303c3da.jpg,US,3,19
368,38.204127,-85.70589,3,14,https://farm66.staticflickr.com/65535/48977565976_1798d5e262.jpg,US,3,19
372,53.22711700000001,-2.885198,0,15,https://farm5.staticflickr.com/4809/45858600545_d83d0131f7.jpg,GB,154,150
373,45.547453,5.5765699999999985,0,16,https://farm66.staticflickr.com/65535/48765142857_fb3c9a465a.jpg,FR,155,150
376,-17.341495000000002,-56.763066,0,16,https://farm66.staticflickr.com/65535/48688329082_3a1ca17a46.jpg,BR,419,19
377,48.83293,2.416863,0,15,https://farm66.staticflickr.com/65535/47056363874_4b15fdd28f.jpg,FR,155,150
379,4.94843,-52.492809,0,16,https://farm66.staticflickr.com/65535/49037437046_f1d81ca0c1.jpg,GF,419,19
384,49.635008,17.339118,4,16,https://farm66.staticflickr.com/65535/48390957876_de10c5fd92.jpg,CZ,151,150
396,20.283815,-87.38023199999998,0,14,https://farm66.staticflickr.com/65535/48827648431_591a880ee1.jpg,MX,419,19
397,43.346746,-3.853454,0,14,https://farm5.staticflickr.com/4831/46044613195_3b1553ea44.jpg,ES,39,150
401,-17.390941,-56.833648,0,11,https://farm66.staticflickr.com/65535/48716388436_b8d43f21c1.jpg,BO,419,19
419,-16.383009,-56.611775,0,16,https://farm66.staticflickr.com/65535/48567171806_54bf13fd29.jpg,BR,419,19
432,48.83293,2.416863,0,15,https://farm8.staticflickr.com/7810/32333004467_27e5e372e6.jpg,FR,155,150
444,48.83293,2.416863,0,15,https://farm8.staticflickr.com/7902/32332996117_c44f2ec523.jpg,FR,155,150
446,-19.954183,-56.304244,0,16,https://farm5.staticflickr.com/4847/45852847794_4b5c28a4f6.jpg,BR,419,19
449,-17.341495000000002,-56.763066,0,16,https://farm66.staticflickr.com/65535/48688161516_26d390fa1d.jpg,BR,419,19
459,-17.275428,-56.685748,0,16,https://farm66.staticflickr.com/65535/46902894565_9837c37aae.jpg,BR,419,19
463,-17.341495000000002,-56.763066,0,16,https://farm66.staticflickr.com/65535/48688164441_8f4b5b1a5b.jpg,BR,419,19
469,53.228761,-2.877823,0,16,https://farm66.staticflickr.com/65535/48780861811_b20ea70e0e.jpg,GB,154,150
473,4.94843,-52.492792,0,16,https://farm66.staticflickr.com/65535/49036933373_9564c1f72f.jpg,GF,419,19
474,4.948311,-52.49282,0,16,https://farm66.staticflickr.com/65535/49036933263_2cbdc44f65.jpg,GF,419,19
479,51.83906500000001,-0.224779,4,16,https://farm66.staticflickr.com/65535/48229881627_0d053b5c4f.jpg,GB,154,150
482,48.862893,1.788496,0,15,https://farm66.staticflickr.com/65535/48337876466_0607af3932.jpg,FR,155,150
488,-17.289876,-56.711423,0,16,https://farm8.staticflickr.com/7871/46608744871_d71434d93d.jpg,BR,419,19
493,-17.306564,-56.720737,0,16,https://farm8.staticflickr.com/7891/47537220521_b5825c19be.jpg,BR,419,19
495,29.713774,-95.391197,2,14,https://farm66.staticflickr.com/65535/48943868461_4fcfe46640.jpg,US,3,19
505,47.75743,13.064374,6,15,https://farm66.staticflickr.com/65535/49037390932_c35f5834f0.jpg,AT,155,150
513,49.635599,17.341661,6,15,https://farm66.staticflickr.com/65535/49160354582_d4a4da86c5.jpg,CZ,151,150
