img_id,lat,lon,lic,acc,url,country,region1,region2
1,-33.765614,150.884302,3,16,https://farm66.staticflickr.com/65535/49108144767_49e9401705.jpg,AU,53,9
2,-33.76562,150.884288,3,16,https://farm66.staticflickr.com/65535/49108145787_c147bb4a32.jpg,AU,53,9
3,-33.766131,150.883772,3,16,https://farm66.staticflickr.com/65535/49108147657_9b8298103e.jpg,AU,53,9
4,-33.766123,150.88375,3,16,https://farm66.staticflickr.com/65535/49107445918_474dc84b3b.jpg,AU,53,9
5,-33.765522999999995,150.884419,3,16,https://farm66.staticflickr.com/65535/49107453923_4c705956ea.jpg,AU,53,9
6,-32.716054,152.153477,3,16,https://farm66.staticflickr.com/65535/48621361172_68f015e0bd.jpg,AU,53,9
7,-33.843686,151.240625,0,13,https://farm8.staticflickr.com/7916/46710372012_e6b8f09d4a.jpg,AU,53,9
8,51.437105,6.804983,0,16,https://farm66.staticflickr.com/65535/48749092363_61c45a1f18.jpg,DE,155,150
9,-37.685026,145.525095,0,15,https://farm8.staticflickr.com/7906/45820151705_9e13d36fb2.jpg,AU,53,9
10,51.4404,6.801567,4,12,https://farm66.staticflickr.com/65535/48754651691_efdd1c5bc5.jpg,DE,155,150
11,-27.53358,152.968965,3,16,https://farm66.staticflickr.com/65535/47954563688_e892b688b2.jpg,AU,53,9
12,-38.469886,145.269169,0,15,https://farm66.staticflickr.com/65535/48819829326_20d345fc4d.jpg,AU,53,9
13,-38.469886,145.269169,0,15,https://farm66.staticflickr.com/65535/48819981902_0a63b99f3d.jpg,AU,53,9
14,47.38225300000001,8.571224,0,14,https://farm8.staticflickr.com/7862/47503578422_52f01eb593.jpg,CH,155,150
15,-38.469886,145.269169,0,15,https://farm66.staticflickr.com/65535/48819470258_3f7678767f.jpg,AU,53,9
16,-38.474035,145.23621,0,15,https://farm5.staticflickr.com/4856/46706159962_05dc7fd40a.jpg,AU,53,9
18,-38.814314,143.531327,0,16,https://farm8.staticflickr.com/7915/40040324203_e5cd7b9d1e.jpg,AU,53,9
19,32.736548,-117.14858999999998,3,12,https://farm66.staticflickr.com/65535/48283385647_db004a3f9d.jpg,US,3,19
20,-28.136348,153.488802,0,16,https://farm66.staticflickr.com/65535/48810627643_ba3d259c74.jpg,AU,53,9
21,-38.484551,145.26331100000004,0,15,https://farm66.staticflickr.com/65535/47639590031_e90b98e9f4.jpg,AU,53,9
22,-35.517857,138.631656,0,13,https://farm66.staticflickr.com/65535/48129966043_69dce3e29d.jpg,AU,53,9
23,28.013877,-82.470073,0,14,https://farm66.staticflickr.com/65535/48893029241_d537c762c5.jpg,US,3,19
24,32.738136,-117.151336,3,12,https://farm66.staticflickr.com/65535/48213052836_f48615f003.jpg,US,3,19
25,-38.484551,145.26331100000004,0,15,https://farm66.staticflickr.com/65535/47639589991_0d260b6ebf.jpg,AU,53,9
26,32.738136,-117.151336,3,12,https://farm66.staticflickr.com/65535/48213120567_6a20ef350d.jpg,US,3,19
28,-35.755706,137.330131,0,11,https://farm8.staticflickr.com/7924/40562654433_517ee16a77.jpg,AU,53,9
29,32.738136,-117.151336,3,12,https://farm66.staticflickr.com/65535/48213054266_2ae3c27f76.jpg,US,3,19
30,32.738136,-117.151336,3,12,https://farm66.staticflickr.com/65535/48213051521_81ea849a60.jpg,US,3,19
31,32.738136,-117.151336,3,12,https://farm66.staticflickr.com/65535/48213113777_a95af216ef.jpg,US,3,19
32,32.738136,-117.151336,3,12,https://farm66.staticflickr.com/65535/48213112322_65e7942d32.jpg,US,3,19
33,28.013801,-82.470116,0,14,https://farm66.staticflickr.com/65535/47671495501_c73a0fb352.jpg,US,3,19
35,-16.627671,145.54696,0,13,https://farm66.staticflickr.com/65535/34003199438_bb67c875df.jpg,AU,53,9
36,51.187964,-2.276401,0,15,https://farm66.staticflickr.com/65535/47664812291_92e762b124.jpg,GB,154,150
37,-28.136481,153.48828799999995,0,16,https://farm66.staticflickr.com/65535/48806974746_5eb951a531.jpg,AU,53,9
38,-33.766131,150.883772,3,16,https://farm66.staticflickr.com/65535/49081481738_40857d7a1b.jpg,AU,53,9
39,-23.592253,-46.614812,2,16,https://farm66.staticflickr.com/65535/49133138842_929acd1ce9.jpg,BR,419,19
40,-27.635421,153.154477,0,13,https://farm5.staticflickr.com/4808/32997205338_9519dc6682.jpg,AU,53,9
41,-28.136698,153.488438,0,16,https://farm66.staticflickr.com/65535/48807352947_e6ee613167.jpg,AU,53,9
42,-28.136367,153.488822,0,16,https://farm66.staticflickr.com/65535/48812275902_bb9171f360.jpg,AU,53,9
43,-37.913163,147.75444,1,11,https://farm66.staticflickr.com/65535/49154219226_111905b44e.jpg,AU,53,9
44,51.217381,4.424024,0,16,https://farm66.staticflickr.com/65535/48270905211_f2ab4d6f0d.jpg,BE,155,150
45,-37.685348,145.527799,0,15,https://farm8.staticflickr.com/7921/45969253694_c028844e0d.jpg,AU,53,9
46,51.436489,6.805428999999998,0,13,https://farm66.staticflickr.com/65535/48335767941_7b4f617e52.jpg,DE,155,150
47,-37.913163,147.75444,1,11,https://farm66.staticflickr.com/65535/48631061937_b88b67dcae.jpg,AU,53,9
49,-37.908829,147.756843,1,11,https://farm8.staticflickr.com/7845/33108835058_8d11cdcf58.jpg,AU,53,9
51,48.182151,16.302777,6,16,https://farm66.staticflickr.com/65535/49112779037_caae73bf62.jpg,AT,155,150
52,48.182151,16.302777,6,16,https://farm66.staticflickr.com/65535/49143285803_f6c3079790.jpg,AT,155,150
53,-27.533079,152.968546,5,15,https://farm66.staticflickr.com/65535/48921719148_f28ccacf98.jpg,AU,53,9
55,32.736458,-117.150829,0,15,https://farm66.staticflickr.com/65535/49038091167_b161b9bbb2.jpg,US,3,19
56,32.736458,-117.150829,0,15,https://farm66.staticflickr.com/65535/48423229592_d2c0a8521d.jpg,US,3,19
57,51.436146,6.8071350000000015,0,16,https://farm5.staticflickr.com/4877/46663047521_ec4f37845b.jpg,DE,155,150
58,-35.517857,138.631656,0,13,https://farm66.staticflickr.com/65535/48129963438_4f1dc51d2c.jpg,AU,53,9
59,48.182151,16.302777,6,16,https://farm66.staticflickr.com/65535/49129030932_a001a6c9ef.jpg,AT,155,150
61,-16.826185,145.666437,0,13,https://farm5.staticflickr.com/4874/46307035094_9a078cbd01.jpg,AU,53,9
62,-31.975026,115.853383,0,15,https://farm66.staticflickr.com/65535/49137270273_6872a77d5e.jpg,AU,53,9
63,-37.568952,143.891973,4,15,https://farm66.staticflickr.com/65535/47623521392_0b90672938.jpg,AU,53,9
64,-27.533079,152.968546,5,15,https://farm66.staticflickr.com/65535/48913263828_c9654bfd66.jpg,AU,53,9
65,-27.533209000000006,152.968837,0,16,https://farm66.staticflickr.com/65535/48883101483_c40291ff63.jpg,AU,53,9
66,32.736458,-117.150829,0,15,https://farm66.staticflickr.com/65535/48965501531_bf1e2d9b6e.jpg,US,3,19
67,32.736458,-117.150829,0,15,https://farm66.staticflickr.com/65535/49258917351_af02b62c1e.jpg,US,3,19
68,-34.935974,138.656902,0,13,https://farm66.staticflickr.com/65535/49093209913_bb96049e3f.jpg,AU,53,9
69,32.736458,-117.150829,0,15,https://farm66.staticflickr.com/65535/49152288401_550559b5a3.jpg,US,3,19
70,48.182151,16.302777,6,16,https://farm66.staticflickr.com/65535/49138546576_10ee78e3b5.jpg,AT,155,150
71,-28.133259,153.48587,0,16,https://farm8.staticflickr.com/7899/46649776565_21e7cef246.jpg,AU,53,9
72,32.736458,-117.150829,0,15,https://farm66.staticflickr.com/65535/49152934527_7e3d8906f7.jpg,US,3,19
73,32.736458,-117.150829,0,15,https://farm66.staticflickr.com/65535/49171118487_9e6db6dace.jpg,US,3,19
74,-27.53358,152.968965,3,16,https://farm66.staticflickr.com/65535/47954544467_2e3e28b891.jpg,AU,53,9
75,-28.136328,153.488833,0,16,https://farm66.staticflickr.com/65535/48812244093_4d905d8c29.jpg,AU,53,9
76,-37.568952,143.891973,4,15,https://farm66.staticflickr.com/65535/32733441477_0de7b32a3b.jpg,AU,53,9
77,-37.682898,145.531963,0,16,https://farm66.staticflickr.com/65535/48210350102_ff538b6152.jpg,AU,53,9
79,-37.568952,143.891973,4,15,https://farm66.staticflickr.com/65535/48629266536_73f65b4002.jpg,AU,53,9
80,32.736458,-117.150829,0,15,https://farm66.staticflickr.com/65535/48427961597_0b7d40bd21.jpg,US,3,19
81,32.736458,-117.150829,0,15,https://farm66.staticflickr.com/65535/49152563332_4520a2430a.jpg,US,3,19
82,-33.841815000000004,151.2407,0,16,https://farm66.staticflickr.com/65535/48841363642_9ecd49c496.jpg,AU,53,9
83,32.736403,-117.150993,3,12,https://farm66.staticflickr.com/65535/48284432801_d8a495c71b.jpg,US,3,19
84,32.736837,-117.151679,3,12,https://farm66.staticflickr.com/65535/48286125801_b27aaf8b42.jpg,US,3,19
85,32.736458,-117.150829,0,15,https://farm66.staticflickr.com/65535/49064404911_bdc231030a.jpg,US,3,19
86,-27.533209000000006,152.968837,0,16,https://farm66.staticflickr.com/65535/49177081213_8e8837fd46.jpg,AU,53,9
87,-28.958917,153.382959,0,13,https://farm66.staticflickr.com/65535/48060482971_55c8ec4b1e.jpg,AU,53,9
89,32.736837,-117.151679,3,12,https://farm66.staticflickr.com/65535/48286125066_780fa9000c.jpg,US,3,19
90,-28.135636,153.488325,0,16,https://farm8.staticflickr.com/7923/46865554244_04016d2ec8.jpg,AU,53,9
92,-28.135636,153.488325,0,16,https://farm8.staticflickr.com/7868/47589575351_ba76a19630.jpg,AU,53,9
93,-28.135636,153.488325,0,16,https://farm8.staticflickr.com/7831/47589574701_aa7efa03bd.jpg,AU,53,9
94,32.736837,-117.151679,3,12,https://farm66.staticflickr.com/65535/48286127821_0a40050029.jpg,US,3,19
95,35.154858000000004,136.978797,3,16,https://farm8.staticflickr.com/7907/32662420157_e0b4e150e2.jpg,JP,30,142
