img_id,lat,lon,lic,acc,url,country,region1,region2
1,43.966017,-121.341644,2,16,https://farm66.staticflickr.com/65535/33985787468_513ac1f1bb.jpg,US,3,19
3,45.191288,-112.685823,0,16,https://farm8.staticflickr.com/7832/39997091673_796e13c8fa.jpg,US,3,19
4,45.425313,-73.934984,0,16,https://farm66.staticflickr.com/65535/48561306031_dac091e836.jpg,CA,3,19
5,45.425313,-73.934984,0,16,https://farm66.staticflickr.com/65535/48561311276_c5e379aa41.jpg,CA,3,19
6,60.364211,-134.780545,0,16,https://farm66.staticflickr.com/65535/47878036551_71ea5aafc8.jpg,CA,3,19
7,49.740751,-112.865724,1,16,https://farm66.staticflickr.com/65535/47653243912_4b201b975e.jpg,CA,3,19
9,32.243311,-111.169462,0,16,https://farm66.staticflickr.com/65535/48227683862_91fea00841.jpg,US,3,19
10,40.662182,-75.627318,1,16,https://farm8.staticflickr.com/7878/47418167922_0f78ef7217.jpg,US,3,19
11,46.339224,-94.257373,0,13,https://farm66.staticflickr.com/65535/48192412577_3cc68fd0fb.jpg,US,3,19
17,33.451763,-111.948773,0,16,https://farm66.staticflickr.com/65535/48532897332_66471b3cdf.jpg,US,3,19
24,52.342464,5.269457,3,16,https://farm66.staticflickr.com/65535/49294630477_724e69bb36.jpg,NL,155,150
34,47.019267,7.237404,6,16,https://farm66.staticflickr.com/65535/48908340203_a50f759a35.jpg,CH,155,150
39,60.364575,-134.78004199999998,0,16,https://farm66.staticflickr.com/65535/46961779265_2b6a74fc59.jpg,CA,3,19
57,46.339876,-94.255142,0,13,https://farm66.staticflickr.com/65535/48192124046_fa5f960a1d.jpg,US,3,19
59,40.133101,-75.338165,1,15,https://farm8.staticflickr.com/7890/47237335661_0f45f4f74c.jpg,US,3,19
78,40.133101,-75.338165,1,15,https://farm8.staticflickr.com/7825/46124282254_832aae775a.jpg,US,3,19
88,48.791384,-64.21453000000001,0,14,https://farm8.staticflickr.com/7867/46077787254_eb16bfe69e.jpg,CA,3,19
