img_id,lat,lon,lic,acc,url,country,region1,region2
1,48.182672,16.301291,5,16,https://farm8.staticflickr.com/7851/45938435415_9fdafb5fc7.jpg,AT,155,150
2,36.986968,-122.059481,0,15,https://farm66.staticflickr.com/65535/47869102591_9982ebbb77.jpg,US,3,19
3,27.433675,-82.60817800000002,3,16,https://farm8.staticflickr.com/7842/46618867491_ea848fed79.jpg,US,3,19
4,27.43368,-82.608198,3,16,https://farm5.staticflickr.com/4809/39653990973_bff67f122d.jpg,US,3,19
5,51.081817,17.028615,5,16,https://farm8.staticflickr.com/7822/47584027551_576474202b.jpg,PL,151,150
6,-29.572623,153.3366,1,16,https://farm5.staticflickr.com/4884/31731553527_57a4bb2afa.jpg,AU,53,9
7,32.249821999999995,-106.821506,3,16,https://farm8.staticflickr.com/7904/46728918584_fb9a6d360a.jpg,US,3,19
8,55.963855,-3.507127,0,13,https://farm8.staticflickr.com/7844/46565509304_64af456e31.jpg,GB,154,150
10,31.913333,-106.6025,0,16,https://farm66.staticflickr.com/65535/40814702813_9e5081826d.jpg,US,3,19
11,-1.51003,35.178963,0,13,https://farm8.staticflickr.com/7851/46659542965_8762b5bbae.jpg,TZ,202,2
12,31.906166,-106.601834,0,16,https://farm66.staticflickr.com/65535/47728828122_0ebfff419b.jpg,US,3,19
13,36.80688,-121.783742,4,16,https://farm66.staticflickr.com/65535/33900481598_d20cb70670.jpg,US,3,19
14,48.74348300000001,3.24397,0,14,https://farm8.staticflickr.com/7920/32178501267_09ffc27e22.jpg,FR,155,150
15,45.475179,-73.757143,0,13,https://farm4.staticflickr.com/3784/9433384544_0c65d18939.jpg,CA,3,19
16,37.213691,-112.940478,1,16,https://farm8.staticflickr.com/7845/46869942402_7c8722c98c.jpg,US,3,19
17,47.725612,17.035117,0,15,https://farm66.staticflickr.com/65535/47644158592_6f94fc8704.jpg,AT,155,150
19,51.836937,19.102177,0,16,https://farm8.staticflickr.com/7854/46122203765_33d4e9fbac.jpg,PL,151,150
20,45.363061,-75.880154,0,16,https://farm8.staticflickr.com/7882/40593843203_eb0a6228bf.jpg,CA,3,19
21,54.864456,10.407292,0,15,https://farm66.staticflickr.com/65535/46781011955_73f82b55dd.jpg,DK,154,150
22,33.620008,-96.905978,0,16,https://farm66.staticflickr.com/65535/32912843347_3133a3305c.jpg,US,3,19
23,51.836937,19.102177,0,16,https://farm8.staticflickr.com/7915/46122204045_43769179a3.jpg,PL,151,150
24,51.836937,19.102177,0,16,https://farm8.staticflickr.com/7823/40071037003_b42189cb91.jpg,PL,151,150
25,48.771938,2.449172,0,16,https://farm8.staticflickr.com/7840/47501581982_f62e4a5ec2.jpg,FR,155,150
27,-28.23447,153.13233799999998,4,16,https://farm66.staticflickr.com/65535/32770263107_ce0b8aa048.jpg,AU,53,9
28,47.439612,15.636677,1,15,https://farm5.staticflickr.com/4895/39884356923_10cf8bee59.jpg,AT,155,150
30,32.754462,-117.196676,0,15,https://farm8.staticflickr.com/7891/46677607414_9561eec98a.jpg,US,3,19
31,51.695969,-5.27893,0,10,https://farm66.staticflickr.com/65535/49131169458_70133ec9d9.jpg,GB,154,150
32,57.14874,-2.295348,0,16,https://farm66.staticflickr.com/65535/48378772992_6a8d26ded8.jpg,GB,154,150
33,46.067514,-74.296417,0,9,https://farm66.staticflickr.com/65535/47946517798_a46282de49.jpg,CA,3,19
34,45.162944,10.788147,0,16,https://farm66.staticflickr.com/65535/48704922392_76874167c5.jpg,IT,39,150
