img_id,lat,lon,lic,acc,url,country,region1,region2
1,48.772923,6.896195,0,15,https://farm66.staticflickr.com/65535/48112323002_9bab1cebb2.jpg,FR,155,150
2,55.944495,-3.270578,0,14,https://farm66.staticflickr.com/65535/48936731868_ef918589db.jpg,GB,154,150
3,50.992657,-1.281666,0,15,https://farm66.staticflickr.com/65535/48036130926_23a1ba0d45.jpg,GB,154,150
4,52.449688,-1.909942,0,16,https://farm8.staticflickr.com/7854/40102149023_03cdb8b9ba.jpg,GB,154,150
5,51.436489,6.805428999999998,0,13,https://farm66.staticflickr.com/65535/48812218978_47606358d3.jpg,DE,155,150
6,51.437667,6.8067160000000015,0,13,https://farm66.staticflickr.com/65535/48558309706_92a2e93828.jpg,DE,155,150
7,47.667125,-122.353395,0,16,https://farm8.staticflickr.com/7927/47268656832_6fc386417d.jpg,US,3,19
8,48.843437,2.359507,0,16,https://farm66.staticflickr.com/65535/48138377843_b3ebcd614e.jpg,FR,155,150
9,51.862413,0.8295319999999999,0,16,https://farm66.staticflickr.com/65535/49038821841_6af368d0c1.jpg,GB,154,150
10,47.374872,8.538436,0,11,https://farm66.staticflickr.com/65535/47978744847_50e689e1c0.jpg,CH,155,150
11,51.438445,6.80191,0,12,https://farm66.staticflickr.com/65535/49186202848_53365453d4.jpg,DE,155,150
12,50.992657,-1.281666,0,15,https://farm66.staticflickr.com/65535/48946356211_65ca2d3622.jpg,GB,154,150
13,48.77222,6.896238,0,16,https://farm66.staticflickr.com/65535/49089153382_6011525727.jpg,FR,155,150
14,47.667125,-122.353395,0,16,https://farm66.staticflickr.com/65535/32688337477_792d7cbd64.jpg,US,3,19
15,49.447681,11.144784,0,16,https://farm8.staticflickr.com/7842/47524393391_e54cf94fab.jpg,DE,155,150
16,48.844397,2.359994,0,16,https://farm66.staticflickr.com/65535/40929314473_273d4065b5.jpg,FR,155,150
17,51.523353,5.1123330000000005,2,13,https://farm8.staticflickr.com/7816/33571014198_d71ef66c2f.jpg,NL,155,150
18,47.667256,-122.353566,0,16,https://farm66.staticflickr.com/65535/48960992982_40c7e9a758.jpg,US,3,19
19,52.653296,1.634087,0,14,https://farm66.staticflickr.com/65535/48757946956_43b45fa792.jpg,GB,154,150
