img_id,lat,lon,lic,acc,url,country,region1,region2
1,-54.872689,-68.094192,0,16,https://farm66.staticflickr.com/65535/49301480652_d3ec45e34c.jpg,AR,419,19
2,-1.3045129999999998,-90.494384,0,8,https://farm66.staticflickr.com/65535/49223887121_bb1ed40e66.jpg,EC,419,19
3,-1.369148,-89.745475,0,16,https://farm66.staticflickr.com/65535/48747598006_6f6a00fce2.jpg,EC,419,19
5,60.021933,-149.416294,0,16,https://farm66.staticflickr.com/65535/48524493981_279508086f.jpg,US,3,19
6,-13.73384,-76.39962299999998,0,16,https://farm8.staticflickr.com/7906/47545573961_4a31d0ed28.jpg,PE,419,19
7,48.439223,-123.259062,0,12,https://farm66.staticflickr.com/65535/48672664117_76496ab3e5.jpg,CA,3,19
8,-0.395161,-90.284442,0,12,https://farm66.staticflickr.com/65535/48084980087_34249a44f0.jpg,EC,419,19
9,57.33705,-5.6522510000000015,0,15,https://farm66.staticflickr.com/65535/48560593181_bdfe0ec22f.jpg,GB,154,150
10,59.602519,-149.572081,0,16,https://farm66.staticflickr.com/65535/48246451767_ba50e73a09.jpg,US,3,19
12,-13.731494,-76.39926899999998,0,15,https://farm66.staticflickr.com/65535/47112037614_4ce6b44cca.jpg,PE,419,19
13,-0.483287,-90.277359,1,16,https://farm66.staticflickr.com/65535/49251385812_00c84d3119.jpg,EC,419,19
14,49.860673,-124.548568,0,15,https://farm66.staticflickr.com/65535/49218861788_0e62e1d12e.jpg,CA,3,19
16,-0.397736,-90.28264,0,14,https://farm66.staticflickr.com/65535/48783233311_eee94e5fa9.jpg,EC,419,19
17,49.864449,-124.550263,0,15,https://farm66.staticflickr.com/65535/48943949961_f7ce029e12.jpg,CA,3,19
18,-1.242988,-90.478291,0,14,https://farm66.staticflickr.com/65535/48529645011_e0a54c6dac.jpg,EC,419,19
20,-0.753099,-90.309762,0,14,https://farm66.staticflickr.com/65535/48845014031_a8db87e9a5.jpg,EC,419,19
22,37.810614,-122.411084,0,15,https://farm8.staticflickr.com/7871/33580016168_76488a2b2c.jpg,US,3,19
25,25.735001,-80.161614,0,16,https://farm66.staticflickr.com/65535/48454091326_634a04c686.jpg,US,3,19
26,-0.8980950000000001,-89.61296,0,8,https://farm66.staticflickr.com/65535/49166164441_20146821df.jpg,EC,419,19
31,36.853526,-121.809926,0,14,https://farm8.staticflickr.com/7920/46607351484_b1162922fb.jpg,US,3,19
36,49.0181,-122.805765,0,16,https://farm66.staticflickr.com/65535/49272274017_26cb996022.jpg,CA,3,19
41,37.997633,-122.982896,0,16,https://farm66.staticflickr.com/65535/49237885056_49050dcf7c.jpg,US,3,19
42,-13.733465,-76.396608,0,13,https://farm66.staticflickr.com/65535/48396239821_2dc6099ef4.jpg,PE,419,19
44,59.823836,-150.052642,0,9,https://farm66.staticflickr.com/65535/49132433623_fcdab9b631.jpg,US,3,19
45,-13.731547,-76.396265,0,13,https://farm66.staticflickr.com/65535/48382017867_e7c4e8cf60.jpg,PE,419,19
47,-0.6280100000000001,-90.65669,0,13,https://farm66.staticflickr.com/65535/47963032923_0c5ff11a40.jpg,EC,419,19
48,-54.870482,-68.08261800000001,0,11,https://farm8.staticflickr.com/7829/40491843003_e1f919a439.jpg,AR,419,19
52,37.81045200000001,-122.411003,0,16,https://farm66.staticflickr.com/65535/48808315967_2b0095f664.jpg,US,3,19
53,32.849866,-117.269268,1,15,https://farm66.staticflickr.com/65535/48169369241_5545b4b563.jpg,US,3,19
54,-0.301607,-91.65224,0,12,https://farm66.staticflickr.com/65535/48529902807_27817d5e9d.jpg,EC,419,19
55,49.961351,-125.115051,0,8,https://farm66.staticflickr.com/65535/48643392843_3704652b8e.jpg,CA,3,19
57,-13.733465,-76.396608,0,13,https://farm66.staticflickr.com/65535/48416732722_73c6d0728b.jpg,PE,419,19
58,37.810468,-122.411247,0,16,https://farm8.staticflickr.com/7891/47080832761_ba021c9cf3.jpg,US,3,19
59,36.609291,-121.892303,5,16,https://farm66.staticflickr.com/65535/48650084166_1eff7c4e04.jpg,US,3,19
60,-1.3045129999999998,-90.494384,0,8,https://farm66.staticflickr.com/65535/49223345683_322e57df9c.jpg,EC,419,19
61,59.974772,-149.339561,6,11,https://farm66.staticflickr.com/65535/48873394652_c4c14a53a1.jpg,US,3,19
63,-34.961565,-54.947669,0,16,https://farm66.staticflickr.com/65535/48116831433_6e0a6b889b.jpg,UY,419,19
64,-0.8794209999999999,-90.942626,0,8,https://farm8.staticflickr.com/7828/39690930373_85c171363a.jpg,EC,419,19
65,49.483182,-124.647402,0,14,https://farm66.staticflickr.com/65535/49248855701_b081ef0959.jpg,CA,3,19
66,32.850362,-117.272357,0,16,https://farm66.staticflickr.com/65535/49031492698_135dd7c652.jpg,US,3,19
68,40.224499,-124.312362,2,10,https://farm66.staticflickr.com/65535/48406368957_6bae080901.jpg,US,3,19
71,-12.069139,-77.086536,0,15,https://farm8.staticflickr.com/7909/33646214588_7f36488048.jpg,PE,419,19
72,50.096137,-5.205287,0,12,https://farm66.staticflickr.com/65535/48663696661_c3669565f1.jpg,GB,154,150
76,35.336477,-120.955337,0,16,https://farm66.staticflickr.com/65535/48663380067_5a9ebfd99f.jpg,US,3,19
77,48.182151,16.302777,6,16,https://farm66.staticflickr.com/65535/49133751168_0b32e06531.jpg,AT,155,150
80,-54.853454000000006,-68.17900999999999,0,15,https://farm66.staticflickr.com/65535/47988311153_232e02d9d2.jpg,AR,419,19
83,51.240797,7.112225,0,16,https://farm66.staticflickr.com/65535/48222950747_3a08a72ec5.jpg,DE,155,150
85,49.018888,-122.805765,0,16,https://farm66.staticflickr.com/65535/49245744238_069b3ae21b.jpg,CA,3,19
88,48.097171,11.553497,6,13,https://farm8.staticflickr.com/7890/45870563235_c7dea34546.jpg,DE,155,150
89,59.702572,-149.550704,0,11,https://farm66.staticflickr.com/65535/49213485492_d655336472.jpg,US,3,19
94,37.810633,-122.4112,0,16,https://farm8.staticflickr.com/7925/33607509608_8aca948830.jpg,US,3,19
95,36.853526,-121.809926,0,14,https://farm8.staticflickr.com/7823/46608723614_1ed8573afd.jpg,US,3,19
96,-1.3045129999999998,-90.494384,0,8,https://farm66.staticflickr.com/65535/49224068057_ddd85572d8.jpg,EC,419,19
97,50.865127,-127.648,0,14,https://farm66.staticflickr.com/65535/48955501308_4213cabf56.jpg,CA,3,19
98,54.53808100000001,161.696777,1,7,https://farm66.staticflickr.com/65535/48534215181_380b66e366.jpg,RU,151,150
99,-0.911826,-89.601745,0,8,https://farm66.staticflickr.com/65535/49168194668_a5d13fcacf.jpg,EC,419,19
100,44.630504,-124.052124,0,15,https://farm5.staticflickr.com/4880/46073977385_041835a585.jpg,US,3,19
102,50.386202,-125.153498,0,16,https://farm5.staticflickr.com/4806/31687140217_656de42f09.jpg,CA,3,19
103,-54.870482,-68.08261800000001,0,11,https://farm8.staticflickr.com/7880/46736745234_df613df3b8.jpg,AR,419,19
105,35.336322,-120.956587,0,16,https://farm66.staticflickr.com/65535/48645566127_f4c54e5038.jpg,US,3,19
106,37.810624,-122.410869,4,15,https://farm66.staticflickr.com/65535/48946134446_71c4b3def5.jpg,US,3,19
108,-0.911826,-89.601745,0,8,https://farm66.staticflickr.com/65535/49161572896_38bbb46633.jpg,EC,419,19
