img_id,lat,lon,lic,acc,url,country,region1,region2
1,34.149061,-118.288421,0,10,https://farm66.staticflickr.com/65535/47834733892_99aff4731b.jpg,US,3,19
2,52.499065,13.526787,0,14,https://farm8.staticflickr.com/7851/46672101615_b5caa138b6.jpg,DE,155,150
3,39.517956,-3.316722,0,16,https://farm66.staticflickr.com/65535/47005795254_a48d5a1e16.jpg,ES,39,150
4,52.500072,13.534438,3,16,https://farm8.staticflickr.com/7858/45703696705_d7d13286c2.jpg,DE,155,150
5,52.502351,13.530349,0,14,https://farm8.staticflickr.com/7802/47185576451_94f433c893.jpg,DE,155,150
6,54.20851500000001,-0.8051659999999999,0,16,https://farm8.staticflickr.com/7900/46703005642_c6815cfcee.jpg,GB,154,150
7,51.947259,7.590694,0,14,https://farm8.staticflickr.com/7838/33654209638_1afca7411c.jpg,DE,155,150
8,52.498171,13.523966,0,16,https://farm8.staticflickr.com/7868/46863255564_6736e045df.jpg,DE,155,150
9,3.20976,101.756315,0,15,https://farm8.staticflickr.com/7926/47309932981_711a3220ef.jpg,MY,35,142
10,32.721238,-97.356145,3,16,https://farm8.staticflickr.com/7886/32188163507_0c72f4e3ca.jpg,US,3,19
11,51.947259,7.590694,0,14,https://farm8.staticflickr.com/7837/33654210198_d04231d37b.jpg,DE,155,150
12,26.008966,76.490936,0,13,https://farm5.staticflickr.com/4887/32078535587_16a87f915a.jpg,IN,34,142
13,40.850209,-73.87782,0,14,https://farm8.staticflickr.com/7911/46278124374_1e81d35b82.jpg,US,3,19
14,-35.300161,149.06943,0,15,https://farm8.staticflickr.com/7874/33490477258_a6137cf2bd.jpg,AU,53,9
15,51.436146,6.8071350000000015,0,16,https://farm5.staticflickr.com/4805/31911379177_fd19def265.jpg,DE,155,150
16,-8.579556,115.344727,0,16,https://farm8.staticflickr.com/7881/47465538961_a551bc881e.jpg,ID,35,142
17,47.385711,8.573412,6,14,https://farm8.staticflickr.com/7856/32032656277_6746b204c5.jpg,CH,155,150
18,18.915949,98.904161,0,13,https://farm8.staticflickr.com/7885/47451839472_4efbe87bd5.jpg,TH,35,142
19,52.50242900000001,13.530520999999998,0,13,https://farm8.staticflickr.com/7814/47427429602_213e897219.jpg,DE,155,150
20,48.098145,11.552896,0,13,https://farm5.staticflickr.com/4826/45788691705_1ab7b57945.jpg,DE,155,150
21,38.648724,-0.348987,0,12,https://farm66.staticflickr.com/65535/47066193504_697d077606.jpg,ES,39,150
22,47.420073,9.285378,6,14,https://farm8.staticflickr.com/7814/46297935765_80d839f8fb.jpg,CH,155,150
23,51.945898,7.589589,0,16,https://farm8.staticflickr.com/7835/46804371391_8d1ac19e15.jpg,DE,155,150
24,46.571164,6.779164999999999,0,16,https://farm8.staticflickr.com/7903/46503065305_32444d4cc6.jpg,CH,155,150
25,19.189755,-99.172645,4,16,https://farm5.staticflickr.com/4826/33510290148_49a91105fa.jpg,MX,419,19
27,47.419152,9.285077,3,16,https://farm66.staticflickr.com/65535/46780591255_9204e18b5a.jpg,CH,155,150
28,47.385711,8.573412,6,14,https://farm8.staticflickr.com/7887/46078296735_3bf973c831.jpg,CH,155,150
29,41.446638,-81.713493,3,14,https://farm66.staticflickr.com/65535/47731038912_9ec6d67b8f.jpg,US,3,19
30,47.420073,9.285378,6,14,https://farm8.staticflickr.com/7918/46232544295_52da853bde.jpg,CH,155,150
31,26.008966,76.490936,0,13,https://farm8.staticflickr.com/7841/46525716294_9f7b879bd1.jpg,IN,34,142
32,51.436146,6.8071350000000015,0,16,https://farm8.staticflickr.com/7913/32033305177_ecffa6a6ee.jpg,DE,155,150
36,52.012207,5.900012,0,16,https://farm8.staticflickr.com/7831/47413059692_3df504a92d.jpg,NL,155,150
37,47.385711,8.573412,6,14,https://farm5.staticflickr.com/4871/40051291453_1fc2bb7230.jpg,CH,155,150
38,50.887062,6.030378,0,13,https://farm8.staticflickr.com/7855/44745024100_0e03fe2d97.jpg,NL,155,150
40,52.50007700000001,13.534438,3,16,https://farm8.staticflickr.com/7905/45954766504_bb0eb8036a.jpg,DE,155,150
41,51.162027,0.660091,0,16,https://farm8.staticflickr.com/7877/39737263683_bdeed19e55.jpg,GB,154,150
42,44.982968,-93.155189,0,15,https://farm4.staticflickr.com/3401/3449751043_6780a76ba1.jpg,US,3,19
43,52.50010500000001,13.534204999999998,5,16,https://farm5.staticflickr.com/4842/31616093527_0bcd76d8d6.jpg,DE,155,150
44,28.05908,-82.572906,3,16,https://farm8.staticflickr.com/7820/40249271003_8dc0d2dc96.jpg,US,3,19
45,50.661486,-1.1394879999999998,0,16,https://farm8.staticflickr.com/7917/46591451101_336fa09155.jpg,GB,154,150
46,40.483517,-79.919296,0,16,https://farm66.staticflickr.com/65535/32681319728_3c28822215.jpg,US,3,19
48,23.696406,81.012496,0,12,https://farm66.staticflickr.com/65535/33837467038_73c1d1ec15.jpg,IN,34,142
50,43.81852,-79.182715,0,14,https://farm8.staticflickr.com/7892/46058562625_9599ed7c3c.jpg,CA,3,19
51,51.927194,4.451338,0,16,https://farm66.staticflickr.com/65535/45899548214_360ede4f6d.jpg,NL,155,150
52,31.570656,-97.145748,2,15,https://farm8.staticflickr.com/7865/45961049045_1c7002d5c4.jpg,US,3,19
53,52.00833,5.901058,0,16,https://farm8.staticflickr.com/7828/47411191852_7ab4eded17.jpg,NL,155,150
54,51.927194,4.451338,0,16,https://farm66.staticflickr.com/65535/31682395777_d23f474c6d.jpg,NL,155,150
55,31.570656,-97.145748,2,15,https://farm5.staticflickr.com/4881/39910655913_2d8d47582e.jpg,US,3,19
62,51.927291,4.451361,2,16,https://farm8.staticflickr.com/7841/47043653102_94b6bca72b.jpg,NL,155,150
64,51.947259,7.590694,0,14,https://farm66.staticflickr.com/65535/49188485781_5a1676d478.jpg,DE,155,150
65,51.011141,-1.269607,0,13,https://farm8.staticflickr.com/7800/40266225483_7e92fa1c71.jpg,GB,154,150
70,52.381016,9.770075,0,16,https://farm66.staticflickr.com/65535/49198700787_d013b4060c.jpg,DE,155,150
72,53.236334,10.042115,0,16,https://farm66.staticflickr.com/65535/48969805028_d9b9c6da0c.jpg,DE,155,150
73,28.567345,-16.327357,0,16,https://farm66.staticflickr.com/65535/48855165671_89ab0c2018.jpg,ES,39,150
74,20.441168,79.255371,0,9,https://farm66.staticflickr.com/65535/48853285127_d83e9f61ba.jpg,IN,34,142
75,26.667766,-80.069024,0,15,https://farm66.staticflickr.com/65535/48752180227_d5c3b9696e.jpg,US,3,19
78,40.851598,-73.87530799999998,0,16,https://farm66.staticflickr.com/65535/48873017397_3743d398f5.jpg,US,3,19
81,51.543933,7.111319,0,16,https://farm66.staticflickr.com/65535/47630237431_dbd34960d9.jpg,DE,155,150
82,38.770654,-104.852052,0,15,https://farm66.staticflickr.com/65535/40772134863_a527c48708.jpg,US,3,19
83,23.724551,81.031165,0,15,https://farm8.staticflickr.com/7900/47319069472_d31b10e9d7.jpg,IN,34,142
84,52.166543,11.642267,0,16,https://farm8.staticflickr.com/7830/40578303763_faa747d26b.jpg,DE,155,150
85,32.721238,-97.356145,3,16,https://farm8.staticflickr.com/7905/32188164927_5cafe334c9.jpg,US,3,19
86,52.499065,13.526787,0,14,https://farm8.staticflickr.com/7847/47587573211_cd7a64ea9a.jpg,DE,155,150
87,51.947259,7.590694,0,14,https://farm8.staticflickr.com/7856/47255410612_afe91455b7.jpg,DE,155,150
